"reference","source_image","screen","route","production_file","evidence_after","evidence_bytes","implementation_status","external_blocker","visual_review_status"
"4835","IMG_4835.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_3.png","112535","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4836","IMG_4836.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_4.png","138306","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4837","IMG_4837.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_5.png","94375","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4838","IMG_4838.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_6.png","145360","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4839","IMG_4839.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_7.png","152640","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4840","IMG_4840.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_8.png","150968","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4841","IMG_4841.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_9.png","133062","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4842","IMG_4842.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_10.png","146508","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4843","IMG_4843.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_11.png","109879","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4844","IMG_4844.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_12.png","135577","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4845","IMG_4845.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_discovery_phone_13.png","155227","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4846","IMG_4846.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_collection_plant_phone.png","152786","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4847","IMG_4847.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_collection_quick_phone.png","190678","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4848","IMG_4848.PNG","recipe discovery","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_collection_regional_phone.png","125316","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4849","IMG_4849.PNG","recipe collection","/wellness/recipes","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_recipe_collection_saved_phone.png","89439","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4850","IMG_4850.PNG","subscription","/plans","lib/features/commerce/presentation/bil_store_plans_page.dart","test/visual_closure/goldens/visual_closure_store_plans_phone.png","111926","local_unavailable_state_accepted_external_validation_pending","store_products_and_sandbox_purchase_external_required","independent_visual_review_limited_state_acceptance"
"4851","IMG_4851.PNG","subscription","/plans","lib/features/commerce/presentation/bil_store_plans_page.dart","test/visual_closure/goldens/visual_closure_store_plans_phone_2.png","88535","local_injected_catalog_actions_accepted_external_validation_pending","store_products_and_sandbox_purchase_external_required","independent_visual_review_limited_state_acceptance"
"4852","IMG_4852.PNG","workout discovery","/wellness/workouts","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_library_phone.png","162239","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4853","IMG_4853.PNG","workout discovery","/wellness/workouts","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_workout_log_phone.png","128984","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4854","IMG_4854.PNG","workout discovery","/wellness/workouts","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_workout_log_phone_2.png","128222","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4855","IMG_4855.PNG","workout discovery","/wellness/workouts","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_workout_log_phone_3.png","130928","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4856","IMG_4856.PNG","workout discovery","/wellness/workouts","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_workout_log_phone_4.png","129874","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4857","IMG_4857.PNG","workout discovery","/wellness/workouts","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_workout_my_exercises_phone.png","131057","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4858","IMG_4858.PNG","workout discovery","/wellness/workouts","lib/features/wellness/presentation/professional_content_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_core_phone.png","29387","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4859","IMG_4859.PNG","workout routines","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_routines_saved_phone.png","55773","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4860","IMG_4860.PNG","workout routines","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_routine_builder_phone.png","22093","production_state_captured_independently_reviewed","","approved_visual_equivalence"
"4861","IMG_4861.PNG","apps and devices","/connected-health","lib/features/connected_health/connected_health_page.dart","test/visual_closure/goldens/visual_closure_connected_health_permission_phone.png","54701","family_equivalent_local_state_accepted","physical_health_source_and_ble_device_external_required","independent_visual_review_limited_family_acceptance"
"4862","IMG_4862.PNG","apps and devices","/connected-health","lib/features/connected_health/connected_health_page.dart","test/visual_closure/goldens/visual_closure_connected_health_compatibility_phone.png","51841","family_equivalent_local_state_accepted","physical_health_source_and_ble_device_external_required","independent_visual_review_limited_family_acceptance"
"4863","IMG_4863.PNG","apps and devices","/connected-health","lib/features/connected_health/connected_health_page.dart","test/visual_closure/goldens/visual_closure_connected_health_unavailable_phone.png","53300","family_equivalent_local_state_accepted","physical_health_source_and_ble_device_external_required","independent_visual_review_limited_family_acceptance"
"4864","IMG_4864.PNG","apps and devices","/connected-health","lib/features/connected_health/connected_health_page.dart","test/visual_closure/goldens/visual_closure_connected_health_update_required_phone.png","56214","family_equivalent_local_state_accepted","physical_health_source_and_ble_device_external_required","independent_visual_review_limited_family_acceptance"
"4865","IMG_4865.PNG","apps and devices","/connected-health","lib/features/connected_health/connected_health_page.dart","test/visual_closure/goldens/visual_closure_connected_health_offline_phone.png","56543","family_equivalent_local_state_accepted","physical_health_source_and_ble_device_external_required","independent_visual_review_limited_family_acceptance"
"4866","IMG_4866.PNG","friends","/community/connections","lib/features/community/presentation/community_connections_page.dart","test/visual_closure/goldens/visual_closure_community_friend_authenticated_phone.png","20158","authenticated_state_limited_acceptance","realtime_and_device_interaction_external","direct_limited_equivalence_accepted"
"4867","IMG_4867.PNG","friends","/community/connections","lib/features/community/presentation/community_connections_page.dart","test/visual_closure/goldens/visual_closure_community_request_authenticated_phone.png","24927","authenticated_state_limited_acceptance","realtime_and_device_interaction_external","direct_limited_equivalence_accepted"
"4868","IMG_4868.PNG","friends","/community/people","lib/features/community/presentation/community_people_page.dart","test/visual_closure/goldens/visual_closure_community_add_friends_authenticated_phone.png","18964","authenticated_state_limited_acceptance","contact_picker_device_interaction_external","direct_limited_equivalence_accepted"
"4869","IMG_4869.PNG","friends","/community/people","lib/features/community/presentation/community_people_page.dart","test/visual_closure/goldens/visual_closure_community_people_search_authenticated_phone.png","17818","authenticated_state_limited_acceptance","realtime_and_device_interaction_external","direct_limited_equivalence_accepted"
"4870","IMG_4870.PNG","community profile","/community/profile","lib/features/community/presentation/community_profile_page.dart","test/visual_closure/goldens/visual_closure_community_profile_authenticated_phone.png","44906","authenticated_editor_family_limited_acceptance","live_cloud_profile_device_validation_external","family_equivalent_limited_acceptance"
"4871","IMG_4871.PNG","community profile","/community/profile","lib/features/community/presentation/community_profile_page.dart","test/visual_closure/goldens/visual_closure_community_profile_authenticated_phone.png","44906","authenticated_editor_family_limited_acceptance","live_cloud_profile_device_validation_external","family_equivalent_limited_acceptance"
"4872","IMG_4872.PNG","community notifications","/community/notifications","lib/features/community/presentation/community_notifications_page.dart","test/visual_closure/goldens/visual_closure_community_notifications_empty_authenticated_phone.png","15600","repository_derived_limited_acceptance","realtime_push_external","direct_limited_equivalence_accepted"
"4873","IMG_4873.PNG","profile","/profile-settings","lib/features/profile/premium_profile_page.dart","test/visual_closure/goldens/visual_closure_profile_phone.png","51769","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4874","IMG_4874.PNG","profile","/profile-settings","lib/features/profile/premium_profile_page.dart","test/visual_closure/goldens/visual_closure_profile_goals_phone.png","48649","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4875","IMG_4875.PNG","goals","/profile-settings","lib/features/profile/premium_profile_page.dart","test/visual_closure/goldens/visual_closure_profile_goals_phone.png","48649","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4876","IMG_4876.PNG","goals","/profile-settings","lib/features/profile/premium_profile_page.dart","test/visual_closure/goldens/visual_closure_dashboard_phone.png","95146","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4877","IMG_4877.PNG","goals","/profile-settings","lib/features/profile/premium_profile_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_calories_phone.png","52451","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4878","IMG_4878.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_phone.png","52840","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4879","IMG_4879.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_phone_2.png","52822","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4880","IMG_4880.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_calories_phone.png","52451","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4881","IMG_4881.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_macros_phone.png","48887","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4882","IMG_4882.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_activity_phone.png","48886","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4883","IMG_4883.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_quick_log_phone.png","52230","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4884","IMG_4884.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_discover_phone.png","46874","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4885","IMG_4885.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_best_action_phone.png","51698","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4886","IMG_4886.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_daily_intelligence_phone.png","39805","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4887","IMG_4887.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_progress_phone.png","47198","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4888","IMG_4888.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_connected_health_phone.png","48946","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4889","IMG_4889.PNG","dashboard customization","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_body_twin_phone.png","48953","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4890","IMG_4890.PNG","quick add","/dashboard","lib/features/dashboard/dashboard_page.dart","test/visual_closure/goldens/quick_add_en_light_phone.png","55815","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4891","IMG_4891.PNG","water entry","/daily-log?action=water","lib/features/daily_log/daily_log_page.dart","test/visual_closure/goldens/visual_closure_daily_log_water_entry_phone.png","19965","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4892","IMG_4892.PNG","weight entry","/daily-check-in","lib/features/daily_check_in/daily_check_in_page.dart","test/visual_closure/goldens/visual_closure_daily_check_in_phone.png","131518","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4893","IMG_4893.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_walk_phone.png","28698","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4894","IMG_4894.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_run_phone.png","29211","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4895","IMG_4895.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_cycle_phone.png","29378","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4896","IMG_4896.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_swim_phone.png","28364","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4897","IMG_4897.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_strength_phone.png","56793","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4898","IMG_4898.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_upper_phone.png","29294","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4899","IMG_4899.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_lower_phone.png","30497","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4900","IMG_4900.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_core_phone.png","29387","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4901","IMG_4901.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_circuit_phone.png","28846","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4902","IMG_4902.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_row_phone.png","28068","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4903","IMG_4903.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_stairs_phone.png","28408","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4904","IMG_4904.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_hike_phone.png","27730","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4905","IMG_4905.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_dance_phone.png","29063","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4906","IMG_4906.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_yoga_phone.png","28133","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4907","IMG_4907.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_pilates_phone.png","28128","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4908","IMG_4908.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_mobility_phone.png","54992","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4909","IMG_4909.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_stretch_phone.png","29784","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4910","IMG_4910.PNG","exercise entry","/wellness/workouts/log","lib/features/wellness/presentation/workout_library_page.dart","test/visual_closure/goldens/visual_closure_workout_entry_breathing_phone.png","30780","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4911","IMG_4911.PNG","meal scan education","/daily-log?action=photo","lib/features/daily_log/daily_log_page_actions.dart","test/visual_closure/goldens/visual_closure_meal_image_guide_1_phone.png","35582","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4912","IMG_4912.PNG","meal scan education","/daily-log?action=photo","lib/features/daily_log/daily_log_page_actions.dart","test/visual_closure/goldens/visual_closure_meal_image_guide_2_phone.png","39104","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4913","IMG_4913.PNG","meal scan education","/daily-log?action=photo","lib/features/daily_log/daily_log_page_actions.dart","test/visual_closure/goldens/visual_closure_meal_image_guide_3_phone.png","38642","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4914","IMG_4914.PNG","barcode scan","/daily-log?action=barcode","lib/features/nutrition/presentation/food_barcode_scanner_page.dart","test/visual_closure/goldens/visual_closure_barcode_unavailable_phone.png","15483","production_state_captured_external_validation_pending","physical_camera_and_real_barcode_external_required","unmatched_until_human_or_pixel_review_passes"
"4915","IMG_4915.PNG","food logging","/daily-log?focus=meal","lib/features/daily_log/daily_log_page.dart","test/visual_closure/goldens/visual_closure_daily_log_meal_entry_phone.png","47077","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4916","IMG_4916.PNG","food logging","/daily-log?focus=meal","lib/features/daily_log/daily_log_page.dart","test/visual_closure/goldens/visual_closure_meal_image_guide_4_phone.png","43188","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4917","IMG_4917.PNG","saved food content","/nutrition","lib/features/nutrition/food_page.dart","test/visual_closure/goldens/visual_closure_food_catalog_verified_result_phone.png","196786","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4918","IMG_4918.PNG","saved food content","/nutrition","lib/features/nutrition/food_page.dart","test/visual_closure/goldens/visual_closure_food_catalog_favorite_result_phone.png","196761","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4919","IMG_4919.PNG","saved food content","/nutrition","lib/features/nutrition/food_page.dart","test/visual_closure/goldens/visual_closure_food_catalog_recent_result_phone.png","197020","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4920","IMG_4920.PNG","custom food","/nutrition","lib/features/nutrition/food_page.dart","test/visual_closure/goldens/visual_closure_custom_food_phone.png","29135","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4921","IMG_4921.PNG","custom food","/nutrition","lib/features/nutrition/food_page.dart","test/visual_closure/goldens/visual_closure_food_catalog_phone.png","191764","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4922","IMG_4922.PNG","diary","/daily-log","lib/features/daily_log/daily_log_page.dart","test/visual_closure/goldens/visual_closure_daily_log_empty_phone.png","43777","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4923","IMG_4923.PNG","diary","/daily-log","lib/features/daily_log/daily_log_page.dart","test/visual_closure/goldens/visual_closure_daily_log_sections_middle_phone.png","40375","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4924","IMG_4924.PNG","diary","/daily-log","lib/features/daily_log/daily_log_page.dart","test/visual_closure/goldens/visual_closure_daily_log_sections_lower_phone.png","35468","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4925","IMG_4925.PNG","dashboard goals","/dashboard","lib/features/dashboard/presentation/dashboard_preferences_page.dart","test/visual_closure/goldens/visual_closure_dashboard_preferences_phone.png","52840","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4926","IMG_4926.PNG","progress","/history","lib/features/history/progress_page.dart","test/visual_closure/goldens/visual_closure_progress_steps_month_phone.png","75396","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4927","IMG_4927.PNG","progress","/history","lib/features/history/progress_page.dart","test/visual_closure/goldens/visual_closure_progress_range_picker_phone.png","26391","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4928","IMG_4928.PNG","progress","/history","lib/features/history/progress_page.dart","test/visual_closure/goldens/visual_closure_progress_metric_picker_phone.png","35109","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4929","IMG_4929.PNG","progress","/history","lib/features/history/progress_page.dart","test/visual_closure/goldens/visual_closure_progress_metric_picker_lower_phone.png","34201","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4930","IMG_4930.PNG","more","/settings","lib/features/settings/settings_page.dart","test/visual_closure/goldens/visual_closure_more_phone.png","56638","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4931","IMG_4931.PNG","more","/settings","lib/features/settings/settings_page.dart","test/visual_closure/goldens/visual_closure_more_lower_phone.png","34215","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4932","IMG_4932.PNG","measurement progress","/history","lib/features/history/progress_page.dart","test/visual_closure/goldens/visual_closure_progress_body_empty_phone.png","26647","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
"4933","IMG_4933.PNG","fasting","/wellness/fasting","lib/features/wellness/presentation/fasting_timer_page.dart","test/visual_closure/goldens/visual_closure_fasting_phone.png","147915","production_state_captured_visual_equivalence_unverified","","unmatched_until_human_or_pixel_review_passes"
